date	Sports	Racing	Misc	Shooter	Action	Adventure	Strategy
19801231	0.49	0	2.71	7.07	0.34	0	0
19811231	0.789	0.48	0	10.04	14.84	0	0
19821231	1.05	1.57	0.87	3.79	6.52	0	0
19831231	3.2	0	2.14	0.48	2.86	0.4	0
19841231	6.18	5.95	1.45	31.01	1.85	0	0
19851231	1.96	0	0	1	3.52	0	0
19861231	5.57	1.96	0	3.89	13.74	0	0
19871231	3.71	0	0	0.71	1.12	4.38	0
19881231	3.59	2.14	0	0.51	1.75	0	0
19891231	5.72	0	1.28	1.2	4.64	0	0
19901231	2.11	6.26	0	0	6.39	0	0
19911231	2.41	1.14	0.08	2	6.76	2.24	0.94
19921231	2.95	9.04	4.94	0.29	3.83	12.24	0.36
19931231	3.18	0.36	0.3	3.08	1.81	0.07	0.81
19941231	8.38	2.19	2.86	8.3	1.55	3.74	3.56
19951231	7.98	6.09	6.4	4.15	3.57	0.72	6.51
19961231	17.45	28.24	10.68	6.91	20.58	4.19	5.61
19971231	30.02	31.91	5.69	22.17	27.58	4.96	7.71
19981231	41.79	27.89	11.94	9.79	39.44	9.05	13.47
19991231	30.29	37.27	20.65	12.25	27.78	7.59	18.46
20001231	41.19	19.99	15.54	6.81	34.04	2.98	8.5
20011231	51.43	55.81	16.4	24.77	59.39	9.12	7.55
20021231	65.42	30.2	15.67	48.58	86.77	11.05	5.56
20031231	56.11	52.19	23.82	27.14	67.93	2.14	7.99
20041231	63.68	47.86	31.32	46.95	76.26	8.7	7.19
20051231	59.54	56.42	61.24	41.6	85.69	8.53	5.37
20061231	136.16	34.09	67.35	38.37	66.58	11.47	4.27
20071231	98.2	39.17	92.27	71.04	106.5	24.47	9.42
20081231	95.34	70.66	87.03	59.51	136.39	25.02	11.69
20091231	138.52	34.19	76.94	69.89	139.36	20.68	12.56
20101231	92.53	34.93	96.86	77.41	117.64	16.57	13.87
20111231	56.99	35.01	56.08	99.36	118.96	15.98	9.06
20121231	30.93	14.46	22.92	72.86	122.04	5.99	3.33
20131231	41.55	13.04	25.65	62.79	125.22	6.61	6.33
20141231	46.66	16.69	23.68	65.99	99.02	6.06	0.99
